ticker,timestamp,open,high,low,close,vol,liq,rsi,macd,cci,adx,turbulence
VLB,20240619,33959.145248,34328.266392,33405.463532,33822.57042472,0.3110062164720799,1072.7583247499992,62.04753479181403,684.5149053320383,65.51616716747917,31.611708266649657,100.33351706864688
VPI,20240619,47998.08,47998.08,47331.44,47831.42,0.1361829064773331,749.9700000000001,41.45611337186856,-229.97983457210648,-120.15503875969009,17.76505195046625,100.33351706864688
VSH,20240619,46974.300262687,46974.300262687,46457.06572526,46598.1296900128,0.0552841267200303,587.7665198033782,60.19761915810628,313.5331317390228,117.64705882354028,13.47424281331257,100.33351706864688
ACB,20240620,20511.525,20762.175,20386.2,20720.4,0.1629506028613446,325.2482142857137,61.202526030001565,213.7977553238743,47.62363829171843,30.70968830056401,103.06244487815228
BMI,20240620,23008.848268,23986.05804,22920.011016,23541.87178,0.293800278074887,777.2552024743,61.898768865803866,343.3483586584807,52.161915351518864,24.8817367660948,103.06244487815228
CDC,20240620,14971.335,15085.62,14895.145,15009.43,0.06820786217436,220.406785714286,50.30328543265945,-27.8453331813962,-9.973753280840688,18.98934740964054,103.06244487815228
CHP,20240620,30519.8094244428,30698.2878421296,30519.8094244428,30609.0486332862,0.0946190906370048,331.45991856120025,59.86448576745524,436.084601582028,-59.21052631579035,23.464639790870542,103.06244487815228
DP3,20240620,59950.8,59950.8,58999.2,59284.68,0.1813615172191352,1203.094285714286,43.24973608189266,-63.01549365419487,-17.731468787130638,25.11605077058393,103.06244487815228
DSN,20240620,52334.03658,52334.03658,52148.45489,52241.245735,0.0549566129944241,457.3263075,59.17702674309077,91.001567238156,184.19822346891263,13.134637566907273,103.06244487815228
EID,20240620,23182.5,23182.5,22997.04,22997.04,0.1817238244832783,344.4257142857142,58.93046139882534,304.1269528557823,105.19125683060122,19.025119703916577,103.06244487815228
FOX,20240620,69527.289524,70791.4220608,68136.74373352,69113.9181844664,0.6637738164938217,5056.033523703401,69.98459348139974,5880.014455234435,64.44568763056829,54.92821827170717,103.06244487815228
FPT,20240620,113882.46855132,116194.368288828,112854.957556872,114139.346299932,0.302955655902893,2957.7050762470503,72.81008829350345,4424.162507381974,123.84086282111308,50.53876841924458,103.06244487815228
IDV,20240620,33336.429056,33755.228416,33001.389568,33671.468544,0.2128596345770435,1005.1184640000004,55.57765330068814,433.241453257142,-10.163439088036604,36.55700661463815,103.06244487815228
MCH,20240620,130377.5559724582,131865.8842369841,129008.2939690945,130686.5329201738,0.3391085155300841,5179.509931543813,76.96682683864793,8571.56604157672,69.21769710684622,42.96276468187359,103.06244487815228
MPC,20240620,17119.8,17500.24,17024.69,17144.5286,0.2534360034178139,621.7476571428577,55.9740265303932,289.18612223002856,33.042302165224214,36.249360140972826,103.06244487815228
NCT,20240620,92285.8,92285.8,91905.24,92285.8,0.1001587409390825,1121.2928571428597,72.61729913154869,1516.8251279340475,98.5015966592978,32.1192316830042,103.06244487815228
NTC,20240620,211329.21,211329.21,205812.2085,208292.989005,0.2998556026943152,6869.6019524999965,52.177475539477705,3685.711320689356,-1.7471059885791032,28.501037227494663,103.06244487815228
PGC,20240620,13939.5,13939.5,13753.64,13753.64,0.3397503258211298,484.9186967857141,50.197083348645776,214.37946081530936,-39.5313004280985,40.32196430622327,103.06244487815228
